"Attacker IP","Victim IP","Target Port","alert.signature",timestamp,count
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)",none,34
"10.10.10.129","10.10.10.130",8080,"RECON TCP SYN scan (external->LAN)",none,5
"10.10.10.129","10.10.10.130",8025,"RECON TCP SYN scan (external->LAN)",none,3
"10.10.10.130","10.10.10.129",3389,"RECON TCP SYN scan (external->LAN)",none,2
"10.10.10.130","10.10.10.129",445,"RECON TCP SYN scan (external->LAN)",none,2
"10.10.10.129","10.10.10.130",1025,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:51:30.121588+0000",1
"10.10.10.129","10.10.10.130",1025,"RECON TCP SYN scan (external->LAN)",none,1
"10.10.10.129","10.10.10.130",8025,"RECON TCP SYN scan (external->LAN)","2025-11-16T06:55:07.346038+0000",1
"10.10.10.129","10.10.10.130",8025,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:51:43.186470+0000",1
"10.10.10.129","10.10.10.130",8025,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:51:43.254007+0000",1
"10.10.10.129","10.10.10.130",8080,"RECON TCP SYN scan (external->LAN)","2025-11-18T11:06:15.707352+0000",1
"10.10.10.129","10.10.10.130",8080,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:53:55.008252+0000",1
"10.10.10.129","10.10.10.130",8080,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:55:54.848917+0000",1
"10.10.10.129","10.10.10.130",8080,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:55:54.872094+0000",1
"10.10.10.129","10.10.10.130",8080,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:56:06.162424+0000",1
"10.10.10.130","10.10.10.129",3389,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:57:00.401594+0000",1
"10.10.10.130","10.10.10.129",3389,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:57:00.401946+0000",1
"10.10.10.130","10.10.10.129",445,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:59:00.708726+0000",1
"10.10.10.130","10.10.10.129",445,"RECON TCP SYN scan (external->LAN)","2025-12-05T15:59:01.223818+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:15:19.040208+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:15:19.041037+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:15:19.081331+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:19:41.996678+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:19:41.998487+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:19:42.074430+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:34:38.384432+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:34:42.712810+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:34:42.713045+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T07:34:42.713149+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T08:06:10.668643+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T08:06:10.670785+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T08:10:09.636766+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T08:10:09.638687+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T08:10:53.146577+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T08:10:53.148674+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T08:12:21.027057+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T08:12:21.030347+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-16T08:13:05.601531+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-18T11:16:03.843250+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-18T11:16:03.845118+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-18T11:16:32.802574+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-18T11:16:32.803861+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-18T11:17:15.381372+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-18T11:17:15.383528+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-11-18T11:17:15.452597+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-12-05T16:00:43.256222+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-12-05T16:01:25.909527+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-12-05T16:02:37.020433+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-12-05T16:03:49.430387+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-12-05T16:04:17.369312+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-12-05T16:04:35.855854+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-12-05T16:04:35.858681+0000",1
"10.10.10.130","10.10.10.129",5985,"RECON TCP SYN scan (external->LAN)","2025-12-05T16:07:55.574309+0000",1
